WGT,AGE,EDUC,LF,FOODHOME,FOODAWAY,FOODDELV,RENT,INCOME,WAGEINC,INTDIVINC,KGINC,SAVING,LIQ,FIN,ASSET,NFIN,DEBT,NETWORTH,TPAY,PIRTOTAL
3027.9561205,70,9,0,600,0,840,0.0,38804.734469,0.0,54.045591182,0.0,6400,13100,258100,957100.0,699000.0,195000,762100.0,1600.0,0.494784986
3054.9000651,70,9,0,600,0,960,0.0,38264.278557,0.0,54.045591182,0.0,3100,7300,184300,1067300.0,883000.0,213000,854300.0,3700.0,1.1603511597
3163.6377657,70,9,0,600,0,840,0.0,36102.45491,0.0,54.045591182,0.0,0,5200,175200,957200.0,782000.0,279000,678200.0,1800.0,0.5982972641
3166.2284633,70,9,0,600,0,840,0.0,33508.266533,0.0,54.045591182,0.0,49000,51600,93600,828600.0,735000.0,549000,279600.0,2700.0,0.9669255784
3235.6247147,70,9,0,600,0,960,0.0,35561.998998,0.0,54.045591182,0.0,5800,7600,34600,825600.0,791000.0,223000,602600.0,1300.0,0.4386705033
236.63475408,46,12,1,15600,8400,0,0.0,224829.65932,9836.2975952,0.0,0.0,35000,40500,140500,1240500.0,1100000.0,518700,721800.0,3667.5,0.195748195
245.84839802,46,12,1,15600,8400,0,0.0,224829.65932,9836.2975952,0.0,0.0,35000,42500,142500,1242500.0,1100000.0,518700,723800.0,3667.5,0.195748195
253.10347701,46,12,1,15600,8400,0,0.0,224829.65932,9944.3887776,0.0,0.0,35000,41100,141100,1241100.0,1100000.0,519700,721400.0,3567.5,0.1904108209
252.90811795,46,12,1,15600,8400,0,0.0,224829.65932,9836.2975952,0.0,0.0,35000,44000,144000,1244000.0,1100000.0,519700,724300.0,3567.5,0.1904108209
253.81131151,46,12,1,15600,8400,0,0.0,224829.65932,9836.2975952,0.0,0.0,35000,42300,142300,1241300.0,1099000.0,518700,722600.0,3667.5,0.195748195
678.86930747,68,14,0,3240,2400,0,0.0,445335.67134,0.0,326651.55311,41074.649299,3310,10890,60492890,61177590.0,684700.0,17580000,43597590.0,113110.24933,3.0478649687
671.83237036,68,14,0,3360,2400,0,0.0,461549.3487,0.0,321030.81162,45398.296593,1410,8480,60671480,61291510.0,620030.0,16840000,44451510.0,108349.06705,2.8170092934
619.95334878,68,14,0,3360,2280,0,0.0,469115.73146,0.0,318577.14178,50802.855711,1110,8290,60765290,62086890.0,1321600.0,21030000,41056890.0,135307.65321,3.4611754193
691.5135948,68,14,0,3480,2400,0,0.0,444254.75952,0.0,305465.68136,42155.561122,8910,16480,60477480,62720180.0,2242700.0,17990000,44730180.0,115748.20168,3.1265358229
671.77291557,68,14,0,3720,2520,0,0.0,502623.998,0.0,381994.23848,47560.12024,6410,14280,60230280,62430180.0,2199900.0,18690000,43740180.0,120252.02276,2.870981646
621.94885389,74,12,0,0,600,0,5500.0,152408.56713,0.0,12970.941884,0.0,150000,164000,2163000,2203000.0,40000.0,0,2203000.0,0.0,0.0
653.29117603,74,12,0,0,600,0,5500.0,149165.83166,0.0,9512.0240481,0.0,150000,165000,1966000,2006000.0,40000.0,0,2006000.0,0.0,0.0
